Site,Stage,Year,Column,Row,Genotype,yield,aphidcov,lcol,lrow,Block,Site.o,Environment
06S3BRE,06S3,2006,1,1,377,1.98,NA,-2.5,-29.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,2,403,1.98,NA,-2.5,-28.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,3,454,2.31,NA,-2.5,-27.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,4,497,1.52,NA,-2.5,-26.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,5,550,2.28,NA,-2.5,-25.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,6,412,1.86,NA,-2.5,-24.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,7,485,2.63,NA,-2.5,-23.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,8,406,2.28,NA,-2.5,-22.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,9,411,1.92,NA,-2.5,-21.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,10,512,2.09,NA,-2.5,-20.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,11,501,2.06,NA,-2.5,-19.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,12,476,2.19,NA,-2.5,-18.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,13,524,2.16,NA,-2.5,-17.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,14,493,2,NA,-2.5,-16.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,15,402,2.19,NA,-2.5,-15.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,16,387,1.7,NA,-2.5,-14.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,17,471,2.36,NA,-2.5,-13.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,18,491,2.31,NA,-2.5,-12.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,19,560,1.78,NA,-2.5,-11.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,20,446,1.37,NA,-2.5,-10.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,21,564,1.45,NA,-2.5,-9.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,22,400,2.61,NA,-2.5,-8.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,23,410,1.94,NA,-2.5,-7.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,24,395,2.1,NA,-2.5,-6.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,25,442,1.5,NA,-2.5,-5.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,26,391,1.88,NA,-2.5,-4.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,27,527,1.82,NA,-2.5,-3.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,28,453,1.71,NA,-2.5,-2.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,29,489,2.33,NA,-2.5,-1.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,30,507,1.99,NA,-2.5,-0.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,31,549,1.55,NA,-2.5,0.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,32,342,1.41,NA,-2.5,1.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,33,551,2,NA,-2.5,2.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,34,566,1.86,NA,-2.5,3.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,35,523,1.91,NA,-2.5,4.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,36,409,2.25,NA,-2.5,5.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,37,459,2.02,NA,-2.5,6.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,38,503,1.7,NA,-2.5,7.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,39,508,1.78,NA,-2.5,8.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,40,526,1.55,NA,-2.5,9.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,41,519,1.66,NA,-2.5,10.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,42,2,1.93,NA,-2.5,11.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,43,482,1.58,NA,-2.5,12.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,44,513,1.85,NA,-2.5,13.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,45,535,1.95,NA,-2.5,14.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,46,408,1.65,NA,-2.5,15.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,47,567,1.85,NA,-2.5,16.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,48,528,2.03,NA,-2.5,17.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,49,505,1.92,NA,-2.5,18.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,50,543,2.5,NA,-2.5,19.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,51,474,2.36,NA,-2.5,20.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,52,499,1.5,NA,-2.5,21.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,53,465,1.87,NA,-2.5,22.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,54,393,1.61,NA,-2.5,23.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,55,401,2.01,NA,-2.5,24.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,56,396,2.33,NA,-2.5,25.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,57,531,NA,NA,-2.5,26.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,58,539,1.68,NA,-2.5,27.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,59,554,2.12,NA,-2.5,28.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,1,60,467,1.81,NA,-2.5,29.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,1,540,2.79,NA,-1.5,-29.5,1,06BRE01,06BRE
06S3BRE,06S3,2006,2,2,575,2.13,NA,-1.5,-28.5,1,06BRE01,06BRE
