Site,Line,Rep,Row,Column,yield,Block,PhenoGroup
1,L734,1,1,1,1,1,NA
1,L344,1,2,1,1.919,1,NA
1,L735,1,3,1,1.938,1,NA
1,L632,1,4,1,2.288,1,NA
1,L96,1,5,1,3.025,1,NA
1,L190,1,6,1,2.913,1,NA
1,L306,1,7,1,1.888,1,NA
1,L350,1,8,1,3.069,1,NA
1,L242,1,9,1,1.8,1,NA
1,L682,1,10,1,2.388,1,NA
1,L116,1,11,1,2.569,1,NA
1,L64,1,12,1,2.625,1,NA
1,L444,1,13,1,2.737,1,NA
1,L627,1,14,1,2.5,1,NA
1,L658,1,15,1,2.038,2,NA
1,L172,1,16,1,2.612,2,NA
1,L107,1,17,1,2.106,2,NA
1,L569,1,18,1,2.031,2,NA
1,L218,1,19,1,2.075,2,NA
1,L398,1,20,1,2.362,2,NA
1,L634,1,21,1,1.812,2,NA
1,L230,1,22,1,2.462,2,NA
1,L525,1,23,1,3.188,2,NA
1,L441,1,24,1,2.413,2,NA
1,L710,1,25,1,1.837,2,NA
1,L678,1,26,1,2.131,2,NA
1,L529,1,27,1,1.525,2,NA
1,L229,1,28,1,1.413,2,NA
1,L231,1,1,2,2.069,1,NA
1,L422,1,2,2,2.219,1,NA
1,L144,1,3,2,2.656,1,NA
1,L277,1,4,2,1.3,1,NA
1,L150,1,5,2,3.388,1,NA
1,L265,1,6,2,2.981,1,NA
1,L267,1,7,2,2.625,1,NA
1,L622,1,8,2,2.856,1,NA
1,L392,1,9,2,2.75,1,NA
1,L317,1,10,2,2.081,1,NA
1,L164,1,11,2,2.737,1,NA
1,L521,1,12,2,1.8,1,NA
1,L594,1,13,2,2.756,1,NA
1,L382,1,14,2,2.606,1,NA
1,L280,1,15,2,2.219,2,NA
1,L670,1,16,2,2.431,2,NA
1,L512,1,17,2,2.281,2,NA
1,L329,1,18,2,2.681,2,NA
1,L424,1,19,2,2.663,2,NA
1,L582,1,20,2,2.675,2,NA
1,L256,1,21,2,2.275,2,NA
1,L78,1,22,2,2.337,2,NA
1,L714,1,23,2,2.138,2,NA
1,L335,1,24,2,2.288,2,NA
1,L618,1,25,2,2.638,2,NA
1,L615,1,26,2,2.4,2,NA
1,L266,1,27,2,3.237,2,NA
1,L399,1,28,2,2.425,2,NA
1,L721,1,1,3,2.031,1,NA
1,L204,1,2,3,3.069,1,NA
1,L37,1,3,3,2.837,1,NA
1,L260,1,4,3,2.569,1,NA
1,L293,1,5,3,2.769,1,NA
1,L149,1,6,3,1.938,1,NA
1,L123,1,7,3,2.431,1,NA
1,L643,1,8,3,2.35,1,NA
